region,provincia,comuna,dc,nom_distrito,hombre_18-19,hombre_20-24,hombre_25-29,hombre_30-34,hombre_35-39,hombre_40-44,hombre_45-49,hombre_50-54,hombre_55-59,hombre_60-64,hombre_65-69,hombre_70-74,hombre_75-79,hombre_80-84,mujer_18-19,mujer_20-24,mujer_25-29,mujer_30-34,mujer_35-39,mujer_40-44,mujer_45-49,mujer_50-54,mujer_55-59,mujer_60-64,mujer_65-69,mujer_70-74,mujer_75-79,mujer_80-84,hombre_18-19,hombre_20-24,hombre_25-29,hombre_30-34,hombre_35-39,hombre_40-44,hombre_45-49,hombre_50-54,hombre_55-59,hombre_60-64,hombre_65-69,hombre_70-74,hombre_75-79,hombre_80-84,mujer_18-19,mujer_20-24,mujer_25-29,mujer_30-34,mujer_35-39,mujer_40-44,mujer_45-49,mujer_50-54,mujer_55-59,mujer_60-64,mujer_65-69,mujer_70-74,mujer_75-79,mujer_80-84,hombre_18-19,hombre_20-24,hombre_25-29,hombre_30-34,hombre_35-39,hombre_40-44,hombre_45-49,hombre_50-54,hombre_55-59,hombre_60-64,hombre_65-69,hombre_70-74,hombre_75-79,hombre_80-84,mujer_18-19,mujer_20-24,mujer_25-29,mujer_30-34,mujer_35-39,mujer_40-44,mujer_45-49,mujer_50-54,mujer_55-59,mujer_60-64,mujer_65-69,mujer_70-74,mujer_75-79,mujer_80-84
13,131,13104,4,ENEAS GONEL,162,512,483,369,348,380,366,457,420,270,188,138,109,126,185,460,477,321,336,366,381,482,435,335,249,218,222,194,162,512,483,369,348,380,366,457,420,270,188,138,109,126,185,460,477,321,336,366,381,482,435,335,249,218,222,194,162,512,483,369,348,380,366,457,420,270,188,138,109,126,185,460,477,321,336,366,381,482,435,335,249,218,222,194
13,131,13104,5,LA PALMA,328,791,916,714,685,634,600,692,618,454,303,261,198,130,289,841,900,780,694,641,666,760,712,527,391,304,310,230,328,791,916,714,685,634,600,692,618,454,303,261,198,130,289,841,900,780,694,641,666,760,712,527,391,304,310,230,328,791,916,714,685,634,600,692,618,454,303,261,198,130,289,841,900,780,694,641,666,760,712,527,391,304,310,230
13,131,13104,6,MONTERREY,137,364,446,369,346,303,303,259,201,186,155,126,98,35,115,329,406,374,322,329,286,273,258,232,206,169,112,77,137,364,446,369,346,303,303,259,201,186,155,126,98,35,115,329,406,374,322,329,286,273,258,232,206,169,112,77,137,364,446,369,346,303,303,259,201,186,155,126,98,35,115,329,406,374,322,329,286,273,258,232,206,169,112,77
13,131,13104,7,EL CORTIJO,89,272,237,222,175,230,273,221,177,108,107,138,94,54,92,247,214,204,170,204,255,212,157,131,168,199,161,74,89,272,237,222,175,230,273,221,177,108,107,138,94,54,92,247,214,204,170,204,255,212,157,131,168,199,161,74,89,272,237,222,175,230,273,221,177,108,107,138,94,54,92,247,214,204,170,204,255,212,157,131,168,199,161,74
13,131,13104,8,LUTHER KING,164,522,541,388,357,453,535,411,295,241,210,302,182,104,179,490,473,383,377,468,487,444,331,279,365,356,295,159,164,522,541,388,357,453,535,411,295,241,210,302,182,104,179,490,473,383,377,468,487,444,331,279,365,356,295,159,164,522,541,388,357,453,535,411,295,241,210,302,182,104,179,490,473,383,377,468,487,444,331,279,365,356,295,159
13,131,13104,9,MUNICIPALIDAD,150,545,604,544,446,385,350,337,337,273,191,144,80,61,159,493,524,479,415,403,396,399,369,313,223,148,131,101,150,545,604,544,446,385,350,337,337,273,191,144,80,61,159,493,524,479,415,403,396,399,369,313,223,148,131,101,150,545,604,544,446,385,350,337,337,273,191,144,80,61,159,493,524,479,415,403,396,399,369,313,223,148,131,101
13,131,13104,10,EL COMENDADOR,146,439,432,319,283,319,346,385,321,237,203,194,185,106,144,413,367,325,316,340,356,414,343,281,254,285,234,188,146,439,432,319,283,319,346,385,321,237,203,194,185,106,144,413,367,325,316,340,356,414,343,281,254,285,234,188,146,439,432,319,283,319,346,385,321,237,203,194,185,106,144,413,367,325,316,340,356,414,343,281,254,285,234,188
13,131,13105,1,EL BOSQUE,295,722,793,651,606,548,575,587,553,463,320,212,161,101,240,647,799,725,649,576,626,636,617,514,358,309,254,159,295,722,793,651,606,548,575,587,553,463,320,212,161,101,240,647,799,725,649,576,626,636,617,514,358,309,254,159,295,722,793,651,606,548,575,587,553,463,320,212,161,101,240,647,799,725,649,576,626,636,617,514,358,309,254,159
13,131,13105,2,LAGOS DE CHILE,156,453,478,381,320,295,299,428,406,308,201,168,103,88,146,456,498,388,297,341,345,444,465,329,247,216,213,166,156,453,478,381,320,295,299,428,406,308,201,168,103,88,146,456,498,388,297,341,345,444,465,329,247,216,213,166,156,453,478,381,320,295,299,428,406,308,201,168,103,88,146,456,498,388,297,341,345,444,465,329,247,216,213,166
13,131,13105,3,CAPITÁN ÁVALOS,75,178,173,158,176,199,218,184,129,104,80,77,45,29,73,172,168,165,194,199,174,178,162,142,127,95,71,73,75,178,173,158,176,199,218,184,129,104,80,77,45,29,73,172,168,165,194,199,174,178,162,142,127,95,71,73,75,178,173,158,176,199,218,184,129,104,80,77,45,29,73,172,168,165,194,199,174,178,162,142,127,95,71,73
